Tag Number, birthyear, lambs in years 2016-2020
826_034284704514, 2018, [0, 0, 0, 0, 1]
826_034284705077, 2018, [0, 0, 0, 0, 1]
826_034284705079, 2018, [0, 0, 0, 0, 2]
826_034284705172, 2018, [0, 0, 0, 0, 1]
826_034284705184, 2018, [0, 0, 0, 0, 1]
826_034284705139, 2018, [0, 0, 0, 0, 2]
826_034284705132, 2018, [0, 0, 0, 0, 1]
826_034284705076, 2018, [0, 0, 0, 0, 1]
826_034284705112, 2018, [0, 0, 0, 0, 2]
826_034284705197, 2018, [0, 0, 0, 0, 1]
826_034284705068, 2018, [0, 0, 0, 0, 1]
826_034284705157, 2018, [0, 0, 0, 1, 0]
826_034284705070, 2018, [0, 0, 0, 0, 1]
826_034284705133, 2018, [0, 0, 0, 0, 1]
826_034284705134, 2018, [0, 0, 0, 0, 1]
